house_area,house_price,bedrooms,lift
1262.8812448831018,38.15643734649305,3bhk,
1143.8409616405236,35.41522884921571,2bhk,0.0
1362.8096672189654,42.734290016568956,3bhk,0.0
1215.430502133762,38.25291506401286,2bhk,
1078.8824973327703,33.88647491998311,1bhk,0.0
1222.332763860535,37.29998291581604,2bhk,
1201.155607620949,37.18466822862847,,0.0
1181.6087312596233,35.9482619377887,2bhk,1.0
1215.070351185361,39.312110535560834,2bhk,0.0
1198.8083940016593,37.87425182004978,2bhk,0.0
1209.1704725894583,38.08511417768375,2bhk,
972.3376182013328,29.760128546039986,1bhk,
1224.096973907015,37.83290921721045,2bhk,0.0
1305.362421702075,40.89087265106225,3bhk,
964.8565356652394,29.395696069957186,1bhk,
1184.6470085661138,35.90941025698341,,1.0
1388.5952390985267,44.7978571729558,3bhk,
1207.2947593570836,37.00884278071251,2bhk,1.0
1040.6504438680636,31.999513316041906,1bhk,
1212.0592214736594,37.33177664420978,2bhk,
1349.1092703446795,43.26327811034039,3bhk,0.0
1055.8557779168564,31.90567333750569,1bhk,0.0
1238.8247560287723,40.50474268086317,,0.0
1173.8592403912012,37.05577721173604,2bhk,0.0
1217.2320577831022,36.95696173349306,2bhk,0.0
1171.4639212404238,37.103917637212724,2bhk,
1283.9473352463956,40.46842005739187,3bhk,0.0
1336.2492487638226,42.087477462914684,3bhk,1.0
1105.0631159349018,36.481893478047056,1bhk,
1219.3586356901849,37.53075907070554,2bhk,1.0
1147.5375225273676,36.96612567582103,2bhk,
1246.4680102102711,38.294040306308126,3bhk,1.0
1365.451263236114,42.24353789708343,3bhk,
1266.473816864514,38.90421450593542,3bhk,0.0
1397.020464667392,45.29061394002176,3bhk,1.0
1308.2649750153612,41.61794925046083,3bhk,
1277.1637413720437,40.66491224116131,3bhk,
1350.6933779625629,43.32080133887688,3bhk,0.0
1055.6531073949825,32.869593221849485,1bhk,0.0
1171.609619147342,36.57828857442026,2bhk,
1217.8094411809798,37.43428323542939,2bhk,1.0
1012.21230242808,32.17636907284239,1bhk,1.0
1177.7742480241182,35.68322744072354,2bhk,1.0
1208.84620897994,37.1053862693982,2bhk,
1062.2525006281612,33.85757501884484,1bhk,1.0
1153.8539475672048,35.465618427016146,2bhk,0.0
986.217155148374,30.306514654451217,,1.0
1276.366541423016,38.96099624269048,3bhk,1.0
1073.1682809861916,33.125048429585746,1bhk,
1031.6265490540773,34.07879647162232,1bhk,
1150.9182522101632,35.1175475663049,2bhk,
1255.0308992190348,39.46092697657105,3bhk,0.0
1215.4113926605623,38.59234177981687,2bhk,
1218.997151846705,37.43991455540115,2bhk,0.0
1174.4908477949482,35.484725433848446,2bhk,
1270.8379730954791,40.24513919286437,3bhk,
1246.4770706341676,39.67431211902503,3bhk,0.0
1301.066740472682,40.652002214180456,3bhk,0.0
1093.7819595281226,33.43345878584368,1bhk,1.0
1187.9826027491515,37.90947808247455,2bhk,1.0
1152.821408284825,35.50464224854475,2bhk,
1011.7824746927456,30.59347424078237,1bhk,0.0
1348.1661278953563,43.364983836860695,3bhk,
1161.5413710917514,36.64624113275254,2bhk,1.0
1186.3002094152569,36.099006282457694,2bhk,
1395.5609614490666,45.43682884347199,3bhk,
1144.2012922033025,34.72603876609908,2bhk,1.0
1209.024936513585,37.72074809540755,2bhk,1.0
1256.9453021975091,38.05835906592528,,1.0
1264.4994705438064,38.27498411631419,3bhk,0.0
1131.8739483207992,35.856218449623974,2bhk,
1181.0679348037395,38.542038044112175,2bhk,1.0
1292.3159111465932,40.739477334397804,3bhk,
1240.639109746843,38.61917329240529,3bhk,
1157.4150357289338,35.24245107186802,,1.0
1087.8920703043334,33.18676210913,1bhk,0.0
1180.1231144846772,36.56369343454032,2bhk,
1047.1784467179425,33.53535340153828,1bhk,
1247.9163946662427,38.33749183998728,3bhk,
1057.588304696516,32.317649140895476,1bhk,0.0
1247.5726577923886,38.72717973377165,3bhk,0.0
1240.8159682011628,38.14447904603489,3bhk,0.0
1244.2595056896344,38.90778517068903,3bhk,1.0
1093.8419920339895,34.14525976101969,1bhk,
1294.5728659375236,41.02718597812571,3bhk,1.0
1180.0789110371911,35.94236733111573,2bhk,1.0
1225.9238399224932,37.3277151976748,2bhk,
1084.0820509513203,33.712461528539606,1bhk,1.0
1260.7267216794874,39.871801650384626,3bhk,0.0
1317.651966956062,42.23955900868185,3bhk,1.0
1164.9000880849944,35.43700264254984,,
1083.9038510845337,32.887115532536,1bhk,0.0
1109.282726355863,34.338481790675885,1bhk,
1135.2457135173856,34.507371405521575,2bhk,
1286.8388010673195,40.42516403201958,3bhk,1.0
1230.1100862931548,38.05330258879465,,
1332.5861104662129,42.227583313986386,3bhk,
1085.713228182248,33.121396845467444,1bhk,1.0
1269.2217971112575,40.04665391333772,3bhk,
1173.7828963229097,37.363486889687294,,0.0
1257.370420777041,38.73111262331124,3bhk,
1304.1311078256747,42.87393323477024,3bhk,0.0
1140.541993035215,34.24625979105645,2bhk,1.0
1053.24092570508,32.4972277711524,1bhk,
1208.4797102801774,37.55439130840532,2bhk,
1283.7622077330248,42.18286623199074,3bhk,0.0
1375.185973452244,42.96557920356732,3bhk,0.0
1425.0584380447642,43.961753141342925,3bhk,1.0
1222.2816001145848,37.53844800343754,2bhk,0.0
1069.5976684294387,33.457930052883164,1bhk,1.0
1236.1970269472831,38.1359108084185,3bhk,0.0
1047.907126785382,31.88721380356146,1bhk,1.0
1317.8741460129213,43.146224380387636,3bhk,0.0
1019.2911261528864,31.638733784586602,1bhk,
1197.9136357513275,38.10740907253983,2bhk,
1135.508482424229,35.89525447272687,2bhk,
1155.125804578671,36.72377413736013,2bhk,1.0
1394.3420456989911,44.990261370969726,3bhk,
1279.5454962824151,39.056364888472466,3bhk,0.0
1298.346992455773,40.56040977367319,3bhk,0.0
1173.967226310143,36.039016789304284,2bhk,1.0
1295.6774073356926,41.770322220070774,3bhk,
1085.5957544010012,33.797872632030035,1bhk,0.0
1128.831046941753,36.144931408252575,2bhk,
1056.704118247791,32.41112354743373,,0.0
1012.6141316184996,31.758423948554988,1bhk,0.0
1409.821455002353,45.31464365007059,3bhk,
1271.2453291888353,40.53735987566506,3bhk,1.0
1072.981337992278,33.13944013976834,1bhk,1.0
1155.451506592264,35.843545197767924,2bhk,1.0
1243.3520455723017,38.82056136716905,,0.0
1224.5602374350135,36.85680712305041,2bhk,0.0
1349.252167061837,43.217565011855115,3bhk,1.0
1265.3631462482583,40.14089438744776,3bhk,
1206.4146793533223,37.72244038059968,2bhk,
1383.6516942782378,43.00955082834713,3bhk,1.0
1204.4025987955858,36.57207796386758,2bhk,1.0
1073.5015945314804,32.84504783594441,1bhk,1.0
1084.9281533270591,35.49784459981177,1bhk,0.0
1226.2226886398005,38.526680659194014,2bhk,1.0
1094.567592733212,33.107027781996365,1bhk,1.0
1183.9507105359985,36.63852131607996,,1.0
1085.5822916678378,35.21746875003513,1bhk,1.0
1136.1991040571163,35.0259731217135,2bhk,0.0
1463.4245391155698,47.202736173467095,3bhk,
1421.5089010987049,44.955267032961146,3bhk,0.0
1261.4773694343446,38.884321083030336,3bhk,
1252.9841053322402,38.64952315996721,3bhk,1.0
1248.9682841529836,39.559048524589514,3bhk,1.0
1235.709447628326,38.97128342884978,2bhk,0.0
1264.4055196273955,38.02216558882187,3bhk,
1192.5729974635444,37.24718992390633,2bhk,0.0
1216.4675046319517,37.85402513895855,2bhk,
1234.5245602696746,39.65573680809024,2bhk,0.0
1122.324299042003,34.17972897126009,2bhk,0.0
1118.9162721538296,34.747488164614886,2bhk,1.0
1300.6754151459158,40.73026245437748,3bhk,
1175.1087113120243,36.05326133936073,2bhk,
1070.8789591678606,32.366368775035816,1bhk,0.0
1221.347995126123,37.37043985378368,2bhk,1.0
1306.943902206561,41.378317066196836,3bhk,1.0
1149.668961055649,34.68006883166948,2bhk,0.0
1335.9482333298122,43.09844699989437,3bhk,1.0
1214.2578329180842,36.867734987542526,2bhk,
1244.7390939794584,38.61217281938375,3bhk,0.0
1019.0563879686248,32.871691639058746,1bhk,
1338.7603998899383,42.63281199669816,3bhk,0.0
1280.737124254621,38.61211372763863,3bhk,1.0
1140.0748085502692,34.75224425650808,2bhk,0.0
1298.415123188486,40.742453695654575,3bhk,1.0
1239.0243234020809,39.34072970206242,,
1194.427529334856,36.65282588004568,2bhk,0.0
1058.6497305398443,33.18949191619534,1bhk,0.0
1125.3928688510427,35.70178606553128,2bhk,
1273.3587775604128,39.580763326812395,3bhk,1.0
1066.027248686342,32.71081746059026,1bhk,
1261.0912398520582,38.60273719556176,3bhk,1.0
1268.2464866444896,40.02739459933469,3bhk,1.0
995.0363144596912,30.58108943379073,1bhk,
1411.4300056720522,44.77290017016156,3bhk,0.0
1167.3035844220672,35.63910753266201,2bhk,1.0
1094.0848715681584,33.80254614704475,1bhk,1.0
1123.0058179731468,34.70017453919441,2bhk,0.0
1169.318188069969,35.51954564209907,2bhk,1.0
1321.239680501675,42.127190415050244,3bhk,0.0
1259.7210688359278,38.901632065077834,,1.0
1098.4976200973078,,,
1061.4216079817063,33.7126482394512,1bhk,1.0
1098.8235346089082,34.48470603826725,,1.0
1109.991383241473,33.939741497244185,,
1063.9147195282942,32.14744158584883,1bhk,1.0
1329.546892048247,42.61640676144741,3bhk,1.0
1401.4132893853698,44.542398681561096,3bhk,
1222.6463044620832,38.8393891338625,2bhk,0.0
1402.5230847595983,43.295692542787954,3bhk,0.0
1429.9009687844195,44.67702906353259,3bhk,
951.2376511449409,30.027129534348223,,
1162.2753161155058,35.98825948346517,2bhk,1.0
1141.3229636129597,35.04968890838879,2bhk,1.0
1194.596951393739,36.02790854181217,,1.0
1468.4369609184305,47.623108827552905,3bhk,0.0
1200.8437540005684,37.91531262001705,2bhk,0.0
1359.9009273164572,43.32702781949372,3bhk,
1202.87303347415,37.126191004224495,,
1168.8564770287774,36.90569431086332,2bhk,0.0
1321.5844775056937,41.807534325170806,3bhk,1.0
1203.6318603369086,39.168955810107256,2bhk,1.0
1120.631936855926,34.37895810567778,2bhk,
1315.176518210159,42.85529554630477,3bhk,0.0
1323.3094190410247,42.53928257123074,3bhk,0.0
1142.9382952322644,34.67814885696793,2bhk,
967.3129449313254,30.739388347939762,1bhk,1.0
1212.7682063302634,39.3130461899079,,
1276.63563848917,39.9390691546751,3bhk,1.0
1324.7284848113918,41.671854544341755,3bhk,
1236.2712240764024,37.50813672229208,3bhk,0.0
1403.1810606761528,44.005431820284585,3bhk,0.0
1005.1120112634296,31.843360337902887,1bhk,0.0
1052.0254867143606,34.02076460143082,,
1287.0206482129722,40.54061944638917,3bhk,0.0
1245.9752470183255,38.769257410549756,3bhk,
1397.2469323039195,43.3874079691176,,0.0
1278.9621923112124,40.40886576933637,3bhk,1.0
1188.8418169708634,36.2352545091259,2bhk,1.0
1003.675733313288,31.22027199939864,1bhk,0.0
1262.5110387245934,38.78533116173781,3bhk,
1106.364840623506,34.30094521870518,1bhk,1.0
968.6103905231446,30.82831171569433,1bhk,1.0
1160.857423487397,37.00572270462191,2bhk,1.0
1109.6748979823312,34.61024693946993,1bhk,1.0
1456.596984041,46.55790952123,,0.0
1424.9103266260863,44.48730979878259,3bhk,0.0
1050.4661315224223,33.90398394567268,1bhk,0.0
1057.7623930101022,33.442871790303066,1bhk,0.0
1173.1872439882782,36.65561731964834,2bhk,
982.8908796198946,30.076726388596835,1bhk,1.0
1062.5372215750178,33.24611664725054,1bhk,1.0
1213.0167442084771,38.02050232625432,2bhk,1.0
1420.5756217840812,45.647268653522445,3bhk,0.0
1243.1201750684934,38.0636052520548,3bhk,
1078.5768336191204,33.907305008573616,1bhk,1.0
1229.5316646268318,38.69594993880495,2bhk,0.0
1295.039305021385,42.941179150641545,3bhk,0.0
1127.243121681071,36.65729365043213,2bhk,
1340.8842971842244,41.90652891552672,3bhk,
1203.3759412998415,37.43127823899525,2bhk,
1017.0677735487913,32.34203320646374,1bhk,0.0
1381.5237838748671,43.25571351624601,3bhk,1.0
1155.529174812483,35.05587524437449,2bhk,
1062.5844733336105,32.997534200008324,1bhk,1.0
1135.5798265666542,34.38739479699962,2bhk,
1162.7322116453602,37.45196634936081,2bhk,1.0
1131.2715843790927,34.90814753137278,2bhk,
1216.44454458931,38.443336337679305,2bhk,0.0
1009.9716461855166,31.079149385565497,1bhk,0.0
1377.278592722025,43.688357781660756,,
1368.4775231538028,42.88432569461409,,1.0
976.5197915404024,30.02559374621207,1bhk,
1371.8886490312063,44.00665947093619,3bhk,1.0
1266.6929569462764,38.46078870838829,3bhk,
1301.3102590527692,41.12930777158308,3bhk,1.0
1118.5808498440624,34.42742549532187,2bhk,
1227.2850975799531,37.8985529273986,2bhk,
1117.7798070254148,34.88339421076245,,
1230.811048439107,37.28433145317321,2bhk,1.0
1155.9249733618494,36.39774920085548,2bhk,1.0
1239.5205177157188,37.855615531471564,3bhk,
1184.1737053568968,36.605211160706894,2bhk,
1192.9556208981696,37.52866862694509,2bhk,
1342.4910647893023,42.35473194367907,3bhk,
1140.195826163156,36.42587478489468,2bhk,0.0
1258.7513096991486,38.16253929097446,3bhk,1.0
1297.7340078923637,40.832020236770894,3bhk,
1111.7940102865027,34.33382030859508,1bhk,
1214.8887423091971,38.48666226927591,2bhk,
1412.5200144417568,45.4756004332527,3bhk,0.0
1181.0544847402318,37.39163454220696,2bhk,1.0
1525.3781596914075,48.07134479074223,3bhk,1.0
1104.8020793860182,33.864062381580545,1bhk,1.0
1305.4726906865008,40.41418072059502,3bhk,0.0
1162.8129029275842,35.51438708782753,2bhk,
1101.6398119440576,35.18919435832173,1bhk,0.0
1102.9159853493695,34.70747956048109,1bhk,
1157.8368126822998,36.43510438046899,2bhk,0.0
1221.51749196269,37.355524758880705,2bhk,1.0
1211.3925545983814,37.23177663795144,2bhk,1.0
1239.032011151993,40.60096033455979,3bhk,1.0
1217.061536508428,39.26184609525284,2bhk,
1163.407898621178,35.40223695863534,2bhk,
1273.980958677669,39.19942876033007,3bhk,1.0
1307.7963498524862,42.61389049557459,3bhk,1.0
1162.3022168491486,35.599066505474454,,0.0
1225.066237725674,39.02198713177022,2bhk,
1357.7224579591946,42.701673738775845,3bhk,1.0
940.7964330232512,29.143892990697537,1bhk,1.0
1204.38785184545,37.1416355553635,2bhk,1.0
1351.6791842808195,42.740375528424586,3bhk,
1074.7349275341066,35.0120478260232,1bhk,0.0
1312.8269962564584,40.55480988769376,3bhk,0.0
1202.7500762017198,36.602502286051596,,
1124.6192116013483,35.45857634804045,2bhk,1.0
1186.688775795291,36.590663273858716,2bhk,0.0
1039.5876226498249,31.927628679494738,1bhk,1.0
1203.1925879420724,37.45577763826217,2bhk,1.0
1132.615900063735,35.328477001912034,2bhk,1.0
1219.6223344248483,38.00867003274546,,
1293.4725708592623,41.06417712577788,,
1241.9905051262688,38.82971515378807,3bhk,0.0
1289.4188858905063,40.33256657671519,,1.0
1261.5177799018356,39.18553339705507,3bhk,0.0
1119.010379905642,34.01031139716926,2bhk,1.0
1220.399553200204,37.131986596006115,2bhk,0.0
1225.9596618470546,39.178789855411644,2bhk,
1260.0515420081756,40.021546260245266,3bhk,
1351.866182470371,42.92598547411113,3bhk,1.0
1173.8799122294226,35.89639736688268,2bhk,
1189.2133527212286,36.816400581636856,2bhk,
1144.784427231367,34.79353281694102,2bhk,1.0
1179.9571870763991,36.22871561229197,2bhk,1.0
1359.6509463680773,44.369528391042316,3bhk,1.0
1181.9280731544789,36.41784219463437,,
1108.1202535732375,34.713607607197126,1bhk,0.0
1045.0569313420265,32.18170794026079,,0.0
1064.5867750655852,35.32760325196756,1bhk,1.0
1113.9474775882104,35.34842432764631,1bhk,
1101.7289577519207,34.041868732557624,1bhk,0.0
1176.9916969604749,36.62975090881424,2bhk,1.0
1128.635160176738,34.81905480530214,2bhk,
1232.8308712921842,37.304926138765516,2bhk,
1298.0240928116148,40.36072278434845,3bhk,0.0
1352.016695803768,42.19050087411304,3bhk,
1120.3244059027838,35.539732177083515,2bhk,
1222.6105660276196,39.15831698082859,2bhk,
1178.519511741577,36.54558535224731,2bhk,1.0
1149.9451110486857,35.058353331460566,2bhk,1.0
1144.693037143255,34.83079111429765,2bhk,1.0
1033.6295989001128,31.178887967003384,1bhk,1.0
1023.4084807752428,32.38225442325728,1bhk,0.0
1299.5438503768903,41.09631551130671,3bhk,1.0
1204.4084614368526,36.49225384310558,2bhk,
1207.9810660373694,37.60943198112108,2bhk,0.0
1267.837147445135,39.52511442335405,3bhk,0.0
1278.8043716692252,40.304131150076756,3bhk,
1051.2620884768407,33.40786265430522,1bhk,
1109.875496905602,34.27626490716806,1bhk,0.0
1074.2960356461813,32.93888106938544,1bhk,1.0
1227.168123843031,38.205043715290934,2bhk,
1246.776707860077,38.85330123580231,3bhk,
1162.4757652414053,36.65427295724216,2bhk,1.0
1149.642653756769,35.20927961270307,2bhk,0.0
1297.437752447729,40.623132573431874,3bhk,1.0
1378.974297448277,43.24922892344831,3bhk,0.0
1239.465313742603,38.33395941227809,3bhk,1.0
1189.102701788042,36.65308105364126,2bhk,0.0
1205.9628266117843,36.68888479835353,2bhk,
1338.696511445159,42.98089534335477,3bhk,
1270.5139109273227,41.02541732781969,3bhk,
1163.017535653826,35.92052606961478,,1.0
1194.5866733195317,38.37760019958595,2bhk,
1281.6890949658666,39.620672848976,3bhk,
1125.885431801525,35.03656295404576,2bhk,0.0
1278.1318505971365,39.893955517914094,3bhk,1.0
1422.838589376688,44.295157681300644,3bhk,
1346.6017531258117,44.158052593774364,3bhk,1.0
1263.6996958723018,39.32099087616905,3bhk,1.0
1104.1718148741325,34.41515444622397,,0.0
1085.5879951231234,33.8676398536937,1bhk,1.0
1251.1319721076038,38.09395916322811,3bhk,0.0
1186.638551398953,37.15915654196859,2bhk,1.0
1199.3891570009707,36.80167471002912,,0.0
1336.777480650392,43.01332441951176,,0.0
1193.0007555873287,37.05002266761986,2bhk,1.0
1227.5976304457813,38.89792891337344,2bhk,1.0
1225.678836639884,39.00036509919652,2bhk,
1031.3391533840215,31.89017460152065,1bhk,0.0
1043.830327732265,31.954909831967953,1bhk,
1117.6430707401255,34.93929212220377,,
1254.844033798046,40.975321013941375,3bhk,0.0
1166.5734507439226,36.79720352231768,2bhk,1.0
1159.3041598040222,36.48912479412066,,1.0
1212.8683383744124,39.58605015123237,,
1149.5700598926644,35.43710179677993,2bhk,
1291.149975837881,40.89449927513642,3bhk,0.0
1108.3835947250157,,1bhk,1.0
1206.2817382798355,36.86845214839507,,
1161.06101624005,36.4818304872015,2bhk,0.0
1250.5119485572757,39.43535845671827,3bhk,1.0
1119.2174990061508,34.76652497018452,,
1160.8528300966125,35.93558490289837,2bhk,
1194.914534335719,37.15743603007157,2bhk,
1232.866941333383,37.81600824000149,2bhk,1.0
1179.4946464807213,37.53483939442164,2bhk,1.0
1137.994686691391,35.09984060074173,2bhk,1.0
1149.1050523714114,35.183151571142346,2bhk,
1275.5839362669085,39.827518088007245,3bhk,0.0
1293.4667766961404,40.63400330088422,3bhk,
1263.974129426693,38.63922388280079,3bhk,0.0
1233.500245783976,37.82500737351928,2bhk,0.0
1048.1965472500228,32.53589641750069,1bhk,
1169.0901496078109,35.40270448823433,,1.0
1235.37525939815,38.341257781944506,2bhk,1.0
1344.8949238286446,42.94684771485934,3bhk,1.0
1394.9616497993252,44.94884949397976,3bhk,1.0
1269.933279650203,39.67799838950609,3bhk,
1093.1483955472152,34.33445186641646,1bhk,0.0
1243.1941905897058,39.30582571769118,,1.0
1200.414634707184,38.30243904121552,2bhk,1.0
1245.3245649363444,38.66973694809033,3bhk,0.0
1143.2804416600673,35.35841324980201,2bhk,1.0
1285.0695708112062,41.722087124336184,3bhk,
1029.063812352885,31.631914370586543,1bhk,0.0
1113.8252686832634,35.614758060497905,1bhk,0.0
1179.6597905586414,36.04979371675924,2bhk,
1085.3432353569951,33.470297060709854,1bhk,
1139.1868779342567,35.8856063380277,2bhk,
1150.3624699033878,37.11087409710163,2bhk,1.0
1189.5423559369503,38.536270678108515,2bhk,
1264.3224714229054,38.11967414268716,3bhk,
1070.8865311458635,32.97659593437591,1bhk,0.0
,38.48387401858946,2bhk,
1199.9662969532114,36.89898890859634,2bhk,
1246.0202668907043,38.17060800672113,3bhk,
1195.8871414012565,36.39661424203769,2bhk,0.0
1106.9586864605274,35.46876059381582,1bhk,0.0
1128.791725375114,34.28375176125341,2bhk,1.0
1021.5693404338944,31.057080213016835,1bhk,1.0
1128.7228476111582,34.071685428334746,2bhk,
1093.5190390692808,34.295571172078425,1bhk,
1220.770668451492,39.143120053544756,,1.0
1351.0538017095134,42.231614051285405,,
1113.171517903483,34.39514553710449,1bhk,0.0
1331.802983031065,41.55408949093194,3bhk,
1202.313183014508,36.44939549043524,2bhk,
1121.704864990781,33.79114594972343,2bhk,0.0
